InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,12,16-19H",TWLIHXQWVLTBCS-UHFFFAOYSA-N,O1C=2C(C(O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"2-(4-hydroxyphenyl)-4H-chromene-4,5,7-triol",86574168,C15H12O5,272.068473484,1.9377999999999997,0,1,1,BTM00001,BTM00001,Reduction of carbonyl,BTMR0368,EC 1.1.1.184,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)13-7-12(24)15-11(23)5-10(6-14(15)31-13)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)",JBFOLLJCGUCDQP-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(OC4OC(C(O)=O)C(C(C4O)O)O)C2,"3,4,5-trihydroxy-6-[5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxyoxane-2-carboxylic acid
3,4,5-Trihydroxy-6-(5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl)oxyoxane-2-carboxylic acid
RefChem:1065674
APIGENIN-7-O-GLUCRONIDE
NSC622811
Apigenin 7-O-|A-glucuronide
CHEMBL1980748
SCHEMBL12955450
CHEBI:182306
NSC-622811
NCI60_006773",5387370,C21H18O11,446.084911396,1.3314999999999988,1,1,1,BTM00002,BTM00002,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C21H18O11/c22-9-3-1-8(2-4-9)12-7-11(24)15-13(30-12)5-10(23)6-14(15)31-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)",FNSVTQFRLNQDTR-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(OC4OC(C(O)=O)C(C(C4O)O)O)C=C(O)C2,"Compound NP-025192
AKOS040736835",77642193,C21H18O11,446.084911396,1.3314999999999988,1,1,1,BTM00003,BTM00003,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C21H18O11/c22-9-5-11(23)15-12(24)7-13(31-14(15)6-9)8-1-3-10(4-2-8)30-21-18(27)16(25)17(26)19(32-21)20(28)29/h1-7,16-19,21-23,25-27H,(H,28,29)",NKRGFKAFZUDVES-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(OC4OC(C(O)=O)C(C(C4O)O)O)C=C3)=C(O)C=C(O)C2,,,C21H18O11,446.084911396,1.3314999999999988,1,1,1,BTM00004,BTM00004,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C16H12O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",JPMYFOBNRRGFNO-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(OC)C2,"Genkwanin
437-64-9
Gengkwanin
7-O-Methylapigenin
7-Methylapigenin
7-Methoxyapigenin
Apigenin 7-methyl ether
5,4'-Dihydroxy-7-methoxyflavone
5-hydroxy-2-(4-hydroxyphenyl)-7-methoxychromen-4-one
5K3I5D6B2B
DTXSID80195908
CHEBI:75718
5,4'-dihydroxy-7-methoxy-flavone
RefChem:142883
DTXCID80118399
4',5-Dihydroxy-7-methoxyflavone
Puddumetin
5-Hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-chromen-4-one
4H-1-Benzopyran-4-one, 5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-
MFCD00017452
CHEMBL210635
5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-chromen-4-one
UNII-5K3I5D6B2B
Gonkwanin
Henquanin
4'',5-dihydroxy-7-methoxyflavone
7'O-methyl-apigenin
Genkwanin (Standard)
apigenin 7-methylether
Spectrum_000330
SpecPlus_000835
Spectrum2_001355
Spectrum3_001401
Spectrum4_001667
Spectrum5_000573
BSPBio_003042
KBioGR_002193
KBioSS_000810
DivK1c_006931
Genkwanin, analytical standard
SCHEMBL866123
SPBio_001569
orb1300267
4,5-Dihydroxy-7-methoxyflavone
Genkwanin, >=98% (HPLC)
SCHEMBL29445006
HY-N0731R
KBio1_001875
KBio2_000810
KBio2_003378
KBio2_005946
KBio3_002262
5-Hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-1-benzopyran-4-one
HY-N0731
4'',5-dihydroxy-7-methoxy flavone
BDBM50187658
CCG-38838
LMPK12111018
MSK158067
s9287
AKOS015896775
Flavone, 4',5-dihydroxy-7-methoxy-
EBC-457056
FG23656
NCGC00178332-01
NCGC00178332-02
AC-34953
AS-60761
ST057642
DB-051163
CS-0009744
NS00083543
4',5-Dihydroxy-7-methoxyflavone, AldrichCPR
C10046
Q3050376
BRD-K29160894-001-02-9
5-Hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-chromen-4-one #",5281617,C16H12O5,284.068473484,3.278000000000001,0,0,0,BTM00005,BTM00005,Methylation of phenolic compound,BTMR1377,EC 2.1.1.25,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C16H12O5/c1-20-14-6-11(18)7-15-16(14)12(19)8-13(21-15)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",YQABHAHJGSNVQR-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(OC)C=C(O)C2,"Thevetiaflavone
29376-68-9
7-hydroxy-2-(4-hydroxyphenyl)-5-methoxychromen-4-one
RefChem:189228
5-o-methylapigenin
apigenin-5-methyl ether
4H-1-Benzopyran-4-one, 7-hydroxy-2-(4-hydroxyphenyl)-5-methoxy-
NSC719158
2-Genistein-5-methyl ether
CHEMBL182265
orb1707799
SCHEMBL2874033
5-methoxy-7,4'-dihydroxyflavone
7-hydroxy-2-(4-hydroxyphenyl)-5-methoxy-4H-chromen-4-one
HY-N1157
LMPK12110956
7,4'-dihydroxy-5-methoxy-isoflavone
AKOS040740935
NSC-719158
(2S)-7,4'-dihydroxy-5-methoxyflavone
FT139054
MS-24040
NCI60_040953
PD100264
DB-229427
CS-0016447
E88819
7-hydroxy-2-(4-hydroxyphenyl)-5-methoxy-chromen-4-one",5315202,C16H12O5,284.068473484,3.278000000000001,0,0,0,BTM00006,BTM00006,Methylation of phenolic compound,BTMR1377,EC 2.1.1.25,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",DANYIYRPLHHOCZ-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(OC)C=C3)=C(O)C=C(O)C2,"acacetin
480-44-4
Linarigenin
5,7-Dihydroxy-4'-methoxyflavone
5,7-dihydroxy-2-(4-methoxyphenyl)chromen-4-one
4'-Methoxy-5,7-dihydroxyflavone
KWI7J0A2CC
DTXSID00197383
NSC-76061
CHEBI:15335
RefChem:551426
DTXCID10119874
207-552-3
Buddleoflavonol
5,7-Dihydroxy-2-(4-methoxyphenyl)-4H-chromen-4-one
4'-Methoxyapigenin
Acacetine
Linarisenin
Apigenin 4'-methyl ether
Akatsetin
5,7-Dioxy-4'-methoxyflavone
Apisenin 4'-methyl ether
Apigenin 4'-dimethyl ether
4H-1-BENZOPYRAN-4-ONE, 5,7-DIHYDROXY-2-(4-METHOXYPHENYL)-
4'-O-Methylapigenin
MFCD00016936
NSC 76061
Flavone, 5,7-dihydroxy-4'-methoxy-
ACAETIN
NSC76061
5,7-dihydroxy-2-(4-methoxyphenyl)-4h-1-benzopyran-4-one
5,7-Dihydroxy-2-(4-methoxyphenyl)-4-benzopyrone
MLS002693970
CHEMBL243664
2-(4-Methoxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one
SMR001233299
SR-01000841189
EINECS 207-552-3
UNII-KWI7J0A2CC
accacetin
BRN 0277879
Acaceztin
Acacetin?
4'-Methylapigenin
Prestwick_49
Acacetin (Standard)
4'-O-methyl apigenin
4'-O-methyl-apigenin
Kinome_3212
Spectrum_000135
ACACETIN [MI]
Prestwick0_000695
Prestwick1_000695
Prestwick2_000695
Prestwick3_000695
Spectrum5_000930
Acacetin, analytical standard
BSPBio_000849
KBioSS_000595
SPECTRUM200499
5-18-04-00575 (Beilstein Handbook Reference)
MLS002153960
DivK1c_000878
SCHEMBL107712
SPBio_002770
BPBio1_000935
orb1303480
SCHEMBL29387049
BCBcMAP01_000082
BDBM23415
GTPL13776
HMS502L20
HY-N0451R
KBio1_000878
KBio2_000595
KBio2_003163
KBio2_005731
APIGENIN-4'-METHYL ETHER
Flavone,7-dihydroxy-4'-methoxy-
NINDS_000878
HMS1570K11
HMS1922P12
HMS2097K11
HMS2234J17
HMS3374F03
Acacetin, >=97.0% (HPLC)
HY-N0451
MSK15637
LMPK12110468
s5318
AKOS015903365
CCG-208517
CS-5336
EBC-444074
FA16905
IDI1_000878
SMP1_000001
NCGC00016458-01
NCGC00016458-02
NCGC00016458-03
NCGC00016458-04
NCGC00016458-05
NCGC00095213-01
NCGC00095213-02
NCGC00095213-03
NCGC00179402-01
AC-33976
AS-70345
CAS-480-44-4
ST066889
SY067185
WLN: T66 BO EVJ CR DO1& GQ IQ
DB-051509
A3013
NS00031752
C01470
480A444
F241167
Q2822213
SR-01000841189-3
SR-01000841189-4
BRD-K77685744-001-03-6
BRD-K77685744-001-07-7
5,7-Dihydroxy-2-(4-methoxyphenyl)-4H-chromen-4-one #
4H-1-Benzopyran-4-one,7-dihydroxy-2-(4-methoxyphenyl)-
BE7185D3-6331-4E84-8C8E-5D10E505E37A",5280442,C16H12O5,284.068473484,3.278000000000001,0,0,0,BTM00007,BTM00007,Methylation of phenolic compound,BTMR1377,EC 2.1.1.25,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,O1C=2C(C(=O)C=C1C3=CC=C(O)C(=C3)O)=C(O)C=C(O)C2,"luteolin
491-70-3
3',4',5,7-Tetrahydroxyflavone
Digitoflavone
Luteolol
2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one
Flacitran
Luteoline
Salifazide
Yama kariyasu
Weld Lake
5,7,3',4'-Tetrahydroxyflavone
Cyanidenon-1470
2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one
4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-
2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-benzopyrone
KUX1ZNC9J2
DTXSID4074988
CHEBI:15864
3',4',5,7-Tetrahydroxy-Flavone
RefChem:6458
DTXCID6040668
207-741-0
Cyanidenon 1470
Bismite
MFCD00017309
Luteolin (Standard)
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one
CHEMBL151
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one
FLAVONE, 3',4',5,7-TETRAHYDROXY-
2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-chromenone
1318-21-4
C.I. Natural Yellow 2
SMR000326896
7-Tetrahydroxyflavone
CCRIS 3790
SR-01000779333
EINECS 207-741-0
UNII-KUX1ZNC9J2
BRN 0292084
Luteoin
Daphneflavonol;
Digitoflavone;
Lutl
Flavopurpol;
Luteolin?
C.I. 75590
4dew
4dgn
4hkn
LU2
Prestwick_122
DIOSMETIN_met006
LUTEOLIN [MI]
Prestwick0_000870
Prestwick1_000870
Prestwick2_000870
Prestwick3_000870
LUTEOLIN [WHO-DD]
BIDD:PXR0059
Lopac0_000660
Oprea1_849964
SCHEMBL20426
BSPBio_000919
Luteolin, analytical standard
MLS000697655
MLS000860038
MLS002154043
MLS006011917
BIDD:ER0122
SPBio_002840
BDBM7459
BPBio1_001011
GTPL5215
MEGxp0_000143
orb1310014
SCHEMBL29352380
SCHEMBL29376494
SCHEMBL30045580
ACon1_000223
cid_5280445
HY-N0162R
GLXC-06558
HMS1570N21
HMS2097N21
HMS2220C06
HMS3356L02
HMS3561N09
HMS3649N21
HMS3656A05
HMS3714N21
HMS5080H10
Luteolin, >=99.0% (TLC)
BB_NC-01244
HY-N0162
MSK40243
TNP00073
Luteolin, >=98% (TLC), powder
BBL027837
EBC-11086
LMPK12110006
s2320
SBB066117
STK801923
AKOS002140588
AC-1125
CCG-208309
CS-4611
DB15584
FL24959
KS-5202
Luteolin 100 microg/mL in Acetonitrile
SMP2_000042
NCGC00016467-01
NCGC00016467-02
NCGC00016467-03
NCGC00016467-04
NCGC00016467-05
NCGC00016467-06
NCGC00016467-07
NCGC00016467-08
NCGC00016467-12
NCGC00016467-21
NCGC00142375-01
NCGC00142375-02
NCGC00142375-03
NCGC00179375-01
NCGC00179375-02
CAS-491-70-3
ST024703
SY030155
CS-0694839
NS00015143
SW196433-3
T2682
91L703
C01514
L 9283
S00110
EN300-1659559
AM-721/20737006
F079506
Luteolin, primary pharmaceutical reference standard
Q415011
SR-01000779333-4
SR-01000779333-5
SR-01000779333-7
BRD-K05236810-001-05-9
BRD-K05236810-001-19-0
23A002A4-B47B-46CD-848C-65042EACF3FF
Z1741977179
2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4H-benzopyrone-4-one
2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one #
4H-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-
Luteolin (Digitoflavone; Daphneflavonol; Flavopurpol; Luteolol)",5280445,C15H10O6,286.04773803999996,2.7596,0,1,1,BTM00008,BTM00008,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(21-15)13(19)12-10(18)5-9(17)6-11(12)20-15/h1-6,14,16-18H",MTOGFTXTNQUYJX-UHFFFAOYSA-N,O1C=2C(C(=O)C3C1(C4=CC=C(O)C=C4)O3)=C(O)C=C(O)C2,SCHEMBL30696551,129650827,C15H10O6,286.04773804,2.1288000000000005,0,1,1,BTM00009,BTM00009,Epoxidation of vinyl ether,BTMR1026,"CYP1A2
CYP3A4",HUMAN,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",FTVWIRXFELQLPI-UHFFFAOYSA-N,O1C=2C(C(=O)CC1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"67604-48-2
5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one
DTXSID50274239
(+-)-naringenin
RefChem:528240
GlyTouCan:G03288QY
DTXCID50196624
G03288QY
266-769-1
(+/-)-Naringenin
4',5,7-Trihydroxyflavanone
rac Naringenin
93602-28-9
( inverted exclamation markA)-Naringenin
(R,S)-Naringenin
(-)-Naringenin
5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one
(+)-naringenin
MFCD00006844
5,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one
CHEMBL32571
rac-Naringenin
MLS000028739
MLS000738094
NSC11855
NSC34875
SMR000059039
4',7-Trihydroxyflavanone
NSC 34875
Flavanone,5,7-trihydroxy-
(+/-)-2,3-Dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one
Naringenin?
CCRIS 8135
MFCD00870553
4H-1-Benzopyran-4-one,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-
(?-Naringenin
4H-1-Benzopyran-4-one,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (S)-
4H-1-Benzopyran-4-one, 2,3-dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-, (S)-
Naringenin (NAR)
Prestwick_531
(??)-Naringenin
EINECS 266-769-1
Opera_ID_106
Prestwick0_000466
Prestwick1_000466
Prestwick2_000466
Prestwick3_000466
(R,S)-Naringenin 1000 microg/mL in Acetone
Oprea1_194140
SCHEMBL20571
BSPBio_000572
MLS001146907
SPBio_002511
5,7-Dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one
BPBio1_000630
MEGxp0_000358
orb1297626
SCHEMBL25894738
ACon1_000582
BDBM19461
GTPL10298
4',5,7-trihydroxyflavan-4-one
(+/-)-Naringenin, >=95%
HMS1569M14
HMS2096M14
HMS2231O18
HMS3352B08
HMS3373N07
HMS3656G15
Naringenin, natural (US), 98%
HY-W011641R
EBC-03890
NSC815094
SBB006461
5,7-Dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-1-benzopyran-4-one
AKOS015895052
(+/-)-Naringenin, analytical standard
CS-W012357
FN01176
HY-W011641
KS-5142
NSC-815094
SB17305
(+/-)-Naringenin, ~95% (HPCE)
SMP1_000060
NCGC00017346-02
NCGC00017346-03
NCGC00017346-04
NCGC00017346-09
NCGC00095963-01
NCGC00095963-02
NCGC00095963-03
AC-20273
ST057236
SY049933
SY075819
DB-057415
N0072
NS00003069
EN300-717813
S00279
AE-848/32605045
F320310
( inverted exclamation markA)-Naringenin (Standard)
5,7-Dihydroxy-2-(4-hydroxy-phenyl)-chroman-4-one
BRD-A94669766-001-02-6
BRD-A94669766-001-04-2
Q57826857
Z1741982267
EC19096C-4404-4A16-9BF9-92F9F358E005
( )-Naringenin;   4?,5,7-Trihydroxyflavanone; H-1-benzopyran-4-one
5,7-Dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one, (S)- #
(+/-)-2,3-Dihydro-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4- one",932,C15H12O5,272.068473484,2.2977000000000007,0,1,1,BTM00010,BTM00010,Flavonoid C-ring reduction,BTMR0255,Unspecified gut bacterial enzyme,GUTMICRO,5280443,O1C=2C(C(=O)C=C1C3=CC=C(O)C=C3)=C(O)C=C(O)C2,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,270.0528
