name,delta_formula,allowed_n
oxidation,"O",3
reduction/hydrogenation,"H2",3
hydrolysis - loss/gain of H2O,"H2O",3
methylation,"CH2",3
oxydrolysis,"H2O2",3
glucoronidation,"C6H8O6",3
sulfation,"SO3",3
O-β-D-apiofuranosyl(→)2-β-D-glucosyl,"C11H18O9",3
loss/gain of CO,"CO",3
acetylation,"C2H2O",3
formylation,"CHO",3
phosphorylation,"HPO3",3
s-cysteine conjugation,"C3H5NO2S",3
n-acetylcysteine conjugation,"C5H7NO3S",3
#
# after this needs doublechecking
glucosylation (hexose),C6H10O5,3
rhamnosylation (deoxyhexose),C6H10O4,3
propionylation,C3H4O,3
butyrylation,C4H6O,3
malonylation (malonate − H2O),C3H2O3,3
succinylation (succinate − H2O),C4H4O3,3
lactylation (lactate − H2O),C3H4O2,3
benzoylation (benzoate − H2O),C7H4O,3
p-coumaroylation (p-coumarate − H2O),C9H6O2,3
caffeoylation (caffeate − H2O),C9H6O3,3
feruloylation (ferulate − H2O),C10H8O3,3
glycine,C2H3NO,3
taurine,C2H5NO2S,3
carboxylation,CO2,4
alanine conjugation (AA−H2O,C3H5NO,3
serine conjugation (AA−H2O),C3H5NO2,3
aspartate conjugation (AA−H2O),C4H5NO3,3
glutamate conjugation (AA−H2O),C5H7NO3,3
glutamine conjugation (AA−H2O),C5H8N2O2,3
tryptophan conjugation (AA−H2O),C11H10N2O,3
tyrosine conjugation (AA−H2O),C9H9NO2,3
phenylalanine conjugation (AA−H2O),C9H9NO,3
#
# need checking
# removed OH from these below 
# not necessarily the case that these reactions would happen
# is there a better way to do this?
indoylation (H20),C8H6N,3
dopaminylation (H20),C8H10NO,3
serotoninylation (H20),C10H10N2,3
crotonylation,C4H5O,3
