entry	rpair	comp1	comp2	formula1	formula2	name1	name2	dblink1	dblink2
RC00001	C00003_C00004	C00003	C00004	C21H28N7O14P2	C21H29N7O14P2	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	NADH; DPNH; Reduced nicotinamide adenine dinucleotide	CAS: 53-84-9; PubChem: 3305; ChEBI: 15846; KNApSAcK: C00007256; PDB-CCD: NAD NAJ; NIKKAJI: J136.554A	CAS: 58-68-4; PubChem: 3306; ChEBI: 16908; KNApSAcK: C00019343; PDB-CCD: NAI; NIKKAJI: J213.546I
RC00001	C00005_C00006	C00005	C00006	C21H30N7O17P3	C21H29N7O17P3	NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	CAS: 2646-71-1; PubChem: 3307; ChEBI: 16474; PDB-CCD: NDP; NIKKAJI: J208.978E	CAS: 53-59-8; PubChem: 3308; ChEBI: 18009; PDB-CCD: NAP; NIKKAJI: J247.824B
RC00002	C00002_C00008	C00002	C00008	C10H16N5O13P3	C10H15N5O10P2	ATP; Adenosine 5'-triphosphate	ADP; Adenosine 5'-diphosphate	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	CAS: 58-64-0; PubChem: 3310; ChEBI: 16761; KNApSAcK: C00019353; PDB-CCD: ADP; NIKKAJI: J10.683F
RC00002	C00002_C00020	C00002	C00020	C10H16N5O13P3	C10H14N5O7P	ATP; Adenosine 5'-triphosphate	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	CAS: 61-19-8; PubChem: 3322; ChEBI: 16027; KNApSAcK: C00019347; PDB-CCD: A AMP AP7; NIKKAJI: J4.814C
RC00002	C00002_C01260	C00002	C01260	C10H16N5O13P3	C20H28N10O19P4	ATP; Adenosine 5'-triphosphate	P1,P4-Bis(5'-adenosyl)tetraphosphate; AppppA	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	PubChem: 4479; ChEBI: 17422; PDB-CCD: B4P; NIKKAJI: J313.703A
RC00002	C00002_C03483	C00002	C03483	C10H16N5O13P3	C10H17N5O16P4	ATP; Adenosine 5'-triphosphate	Adenosine tetraphosphate; Adenosine 5'-tetraphosphate	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	PubChem: 6295; ChEBI: 18334; PDB-CCD: AQP
RC00002	C00002_C04058	C00002	C04058	C10H16N5O13P3	C20H29N10O22P5	ATP; Adenosine 5'-triphosphate	Bis(5'-adenosyl) pentaphosphate; P1,P5-Bis(5'-adenosyl)pentaphosphate	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	CAS: 41708-91-2; PubChem: 6757; ChEBI: 28898; PDB-CCD: AP5; NIKKAJI: J278.253G
RC00002	C00002_C20190	C00002	C20190	C10H16N5O13P3	C20H30N10O25P6	ATP; Adenosine 5'-triphosphate	P1,P6-Bis(5'-adenosyl)hexaphosphate	CAS: 56-65-5; PubChem: 3304; ChEBI: 15422; KNApSAcK: C00001491; PDB-CCD: ATP; NIKKAJI: J10.680A	CAS: 56983-23-4; PubChem: 163311933; PDB-CCD: B6P
RC00002	C00003_C00020	C00003	C00020	C21H28N7O14P2	C10H14N5O7P	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	CAS: 53-84-9; PubChem: 3305; ChEBI: 15846; KNApSAcK: C00007256; PDB-CCD: NAD NAJ; NIKKAJI: J136.554A	CAS: 61-19-8; PubChem: 3322; ChEBI: 16027; KNApSAcK: C00019347; PDB-CCD: A AMP AP7; NIKKAJI: J4.814C
RC00002	C00003_C00455	C00003	C00455	C21H28N7O14P2	C11H15N2O8P	NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	Nicotinamide D-ribonucleotide; NMN; Nicotinamide mononucleotide; Nicotinamide ribonucleotide; Nicotinamide nucleotide; beta-Nicotinamide D-ribonucleotide; beta-Nicotinamide ribonucleotide; beta-Nicotinamide mononucleotide	CAS: 53-84-9; PubChem: 3305; ChEBI: 15846; KNApSAcK: C00007256; PDB-CCD: NAD NAJ; NIKKAJI: J136.554A	CAS: 1094-61-7; PubChem: 3741; ChEBI: 16171; KNApSAcK: C00019694; PDB-CCD: NMN; NIKKAJI: J9.877I
