CID,Title,MolecularFormula,InChIKey,InChI,ExactMass,XLogP,TPSA,SMILES
97301495,"8-((2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(hydroxymethyl)-3-(((2R,3S,4R,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)tetrahydro-2H-pyran-2-yl)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one",C27H30O16,QQBFHNKJGBCSLG-KLYXJHKJSA-N,"InChI=1S/C27H30O16/c28-6-15-20(36)22(38)26(43-27-23(39)21(37)19(35)16(7-29)42-27)25(41-15)18-12(33)4-11(32)17-13(34)5-14(40-24(17)18)8-1-2-9(30)10(31)3-8/h1-5,15-16,19-23,25-33,35-39H,6-7H2/t15-,16+,19-,20-,21-,22+,23+,25+,26-,27-/m1/s1",610.15338487,-1.7,277,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@@H]5[C@H]([C@@H]([C@@H]([C@@H](O5)CO)O)O)O)O)O
5316673,Afzelin,C21H20O10,SOSLMHZOJATCCP-AEIZVZFYSA-N,"InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1",432.10564683,1.2,166,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O
5280443,Apigenin,C15H10O5,KZNIFHPLKGYRTM-UHFFFAOYSA-N,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",270.05282342,1.7,87,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
10795088,Apigenin 7-O-(2G-rhamnosyl)gentiobioside,C33H40O19,LXOPDILLGIDKLW-KDGNLIIISA-N,"InChI=1S/C33H40O19/c1-11-22(38)25(41)29(45)32(47-11)52-30-27(43)24(40)20(10-46-31-28(44)26(42)23(39)19(9-34)50-31)51-33(30)48-14-6-15(36)21-16(37)8-17(49-18(21)7-14)12-2-4-13(35)5-3-12/h2-8,11,19-20,22-36,38-45H,9-10H2,1H3/t11-,19+,20+,22-,23+,24+,25+,26-,27-,28+,29+,30+,31+,32-,33+/m0/s1",740.21637904,-2.4,304,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)O)O)O
5280746,Apiin,C26H28O14,NTDLXWMIWOECHG-YRCFQSNFSA-N,"InChI=1S/C26H28O14/c27-8-18-20(32)21(33)22(40-25-23(34)26(35,9-28)10-36-25)24(39-18)37-13-5-14(30)19-15(31)7-16(38-17(19)6-13)11-1-3-12(29)4-2-11/h1-7,18,20-25,27-30,32-35H,8-10H2/t18-,20-,21+,22-,23+,24-,25+,26-/m1/s1",564.14790556,-0.4,225,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)(CO)O
5490064,Avicularin,C20H18O11,BDCDNTVZSILEOY-UXYNSRGZSA-N,"InChI=1S/C20H18O11/c21-6-13-15(26)17(28)20(30-13)31-19-16(27)14-11(25)4-8(22)5-12(14)29-18(19)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,20-26,28H,6H2/t13-,15-,17+,20-/m0/s1",434.08491139,1,186,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)O)O
5280448,Calycosin,C16H12O5,ZZAJQOPSWWVMBI-UHFFFAOYSA-N,"InChI=1S/C16H12O5/c1-20-14-5-2-9(6-13(14)18)12-8-21-15-7-10(17)3-4-11(15)16(12)19/h2-8,17-18H,1H3",284.06847348,2.4,76,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
5318267,Calycosin 7-o-beta-D-glucoside,C22H22O10,WACBUPFEGWUGPB-MIUGBVLSSA-N,"InChI=1S/C22H22O10/c1-29-15-5-2-10(6-14(15)24)13-9-30-16-7-11(3-4-12(16)18(13)25)31-22-21(28)20(27)19(26)17(8-23)32-22/h2-7,9,17,19-24,26-28H,8H2,1H3/t17-,19-,20+,21-,22-/m1/s1",446.12129689,0.6,155,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
11592917,Clitorin,C33H40O19,WRXVPTMENPZUIZ-QEZWUOJGSA-N,"InChI=1S/C33H40O19/c1-10-19(37)23(41)26(44)31(47-10)46-9-17-21(39)25(43)30(52-32-27(45)24(42)20(38)11(2)48-32)33(50-17)51-29-22(40)18-15(36)7-14(35)8-16(18)49-28(29)12-3-5-13(34)6-4-12/h3-8,10-11,17,19-21,23-27,30-39,41-45H,9H2,1-2H3/t10-,11-,17+,19-,20-,21+,23+,24+,25-,26+,27+,30+,31+,32-,33-/m0/s1",740.21637904,-2,304,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O[C@H]6[C@@H]([C@@H]([C@H]([C@@H](O6)C)O)O)O)O)O)O)O)O
5280961,Genistein,C15H10O5,TZBJGXHYKVUXJN-UHFFFAOYSA-N,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",270.05282342,2.7,87,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
