entry	name	definition	equation	comment	rclass	enzyme	pathway	brite	dblinks	orthology	module
R03565	UDPglucose:vitexin 2''-O-beta-D-glucosyltransferase	UDP-glucose + Vitexin <=> Vitexin 2''-O-beta-D-glucoside + UDP	C00029 + C01460 <=> C04024 + C00015	vitexin beta-glucosyltransferase	RC00005 C00015_C00029 | RC00049 C01460_C04024	2.4.1.105	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.4 Glycosyltransferases > 2.4.1 Hexosyltransferases > 2.4.1.105 > R03565 UDP-glucose + Vitexin <=> Vitexin 2''-O-beta-D-glucoside + UDP	RHEA: 21959		
R03571	S-adenosyl-L-methionine:5,7,4'-trihydroxyflavone 4'-O-methyltransferase	S-Adenosyl-L-methionine + Apigenin <=> S-Adenosyl-L-homocysteine + Acacetin	C00019 + C01477 <=> C00021 + C01470	apigenin 4'-O-methyltransferase	RC00003 C00019_C00021 | RC00392 C01470_C01477	2.1.1.75	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.1 Transferring one-carbon groups > 2.1.1 Methyltransferases > 2.1.1.75 > R03571 S-Adenosyl-L-methionine + Apigenin <=> S-Adenosyl-L-homocysteine + Acacetin	RHEA: 20432		
R03574	UDPglucose:5,7,3',4'-tetrahydroxyflavone 7-O-beta-D-glucosyltransferase	UDP-glucose + Apigenin <=> UDP + Apigenin 7-O-beta-D-glucoside	C00029 + C01477 <=> C00015 + C04608	flavone 7-O-beta-glucosyltransferase	RC00005 C00015_C00029 | RC00171 C01477_C04608	2.4.1.81	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.4 Glycosyltransferases > 2.4.1 Hexosyltransferases > 2.4.1.81 > R03574 UDP-glucose + Apigenin <=> UDP + Apigenin 7-O-beta-D-glucoside	RHEA: 59763		
R03686	UDPglucose:isovitexin 2''-O-beta-D-glucosyltransferase	UDP-glucose + Isovitexin <=> Isovitexin 2''-O-beta-D-glucoside + UDP	C00029 + C01714 <=> C04199 + C00015	isovitexin beta-glucosyltransferase	RC00005 C00015_C00029 | RC00049 C01714_C04199	2.4.1.106	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.4 Glycosyltransferases > 2.4.1 Hexosyltransferases > 2.4.1.106 > R03686 UDP-glucose + Isovitexin <=> Isovitexin 2''-O-beta-D-glucoside + UDP	RHEA: 19532		
R04526	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase	UDP-apiose + Apigenin 7-O-beta-D-glucoside <=> UDP + Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]	C01623 + C04608 <=> C00015 + C04858	flavone apiosyltransferase	RC00005 C00015_C01623 | RC00049 C04608_C04858	2.4.2.25	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.4 Glycosyltransferases > 2.4.2 Pentosyltransferases > 2.4.2.25 > R04526 UDP-apiose + Apigenin 7-O-beta-D-glucoside <=> UDP + Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]	RHEA: 19156		
R04618	malonyl-CoA:flavone-7-O-beta-D-glucoside 6''-O-malonyltransferase	Malonyl-CoA + Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside] <=> CoA + Malonylapiin	C00083 + C04858 <=> C00010 + C05622	flavonoid glucoside malonyltransferase	RC00004 C00010_C00083 | RC00041 C04858_C05622	2.3.1.115	rn00944 Flavone and flavonol biosynthesis	Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.3 Acyltransferases > 2.3.1 Transferring groups other than aminoacyl groups > 2.3.1.115 > R04618 Malonyl-CoA + Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside] <=> CoA + Malonylapiin		K13264 isoflavone 7-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.115]	
R05035	S-adenosyl-L-methionine:kaempferol 3-O-methyltransferase; | S-adenosyl-L-methionine:3,5,7,4'-tetrahydroxyfavone 3-O-methyltransferase	S-Adenosyl-L-methionine + Kaempferol <=> S-Adenosyl-L-homocysteine + 3-Methoxyapigenin	C00019 + C05903 <=> C00021 + C05902		RC00003 C00019_C00021 | RC00392 C05902_C05903	2.1.1.76		Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.1 Transferring one-carbon groups > 2.1.1 Methyltransferases > 2.1.1.76 > R05035 S-Adenosyl-L-methionine + Kaempferol <=> S-Adenosyl-L-homocysteine + 3-Methoxyapigenin	RHEA: 74746	K05279 flavonol 3-O-methyltransferase [EC:2.1.1.76]	
R06537	apigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)	Apigenin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Luteolin + [Oxidized NADPH---hemoprotein reductase] + H2O	C01477 + C03024 + C00007 <=> C01514 + C03161 + C00001	flavonoid 3'-hydroxylase	RC00001 C00005_C00006 | RC00046 C01477_C01514	1.14.14.81 1.14.14.82	rn00941 Flavonoid biosynthesis | rn00944 Flavone and flavonol biosynthesis | rn01100 Metabolic pathways | rn01110 Biosynthesis of secondary metabolites	Enzymatic reactions [BR:br08201] > 1. Oxidoreductase reactions > 1.14 Acting on paired donors, with incorporation or reduction of molecular oxygen > 1.14.14 With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor > 1.14.14.81 > R06537 Apigenin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Luteolin + [Oxidized NADPH---hemoprotein reductase] + H2O > 1.14.14.82 > R06537 Apigenin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Luteolin + [Oxidized NADPH---hemoprotein reductase] + H2O > IUBMB reaction hierarchy [BR:br08202] > 1. Oxidoreductase reactions > 1.14.14.82 > R03615 Flavonoid <=> 3'-Hydroxyflavonoid > R06537 Apigenin <=> Luteolin		K05280 flavonoid 3'-monooxygenase [EC:1.14.14.82] | K13083 flavonoid 3',5'-hydroxylase [EC:1.14.14.81]	
R06792		Apigenin + 2 NADPH + 2 H+ + Oxygen <=> 2-Hydroxy-2,3-dihydrogenistein + 2 NADP+ + H2O	C01477 + 2 C00005 + 2 C00080 + C00007 <=> C12631 + 2 C00006 + C00001		RC00001 C00005_C00006 | RC02061 C01477_C12631						
R06821	malonyl-CoA:flavone-7-O-beta-D-glucoside 6''-O-malonyltransferase	Apigenin 7-O-beta-D-glucoside + Malonyl-CoA <=> Apigenin 7-(6''-malonylglucoside) + CoA	C04608 + C00083 <=> C10020 + C00010	isoflavone-7-O-beta-glucoside 6''-O-malonyltransferase	RC00004 C00010_C00083 | RC00041 C04608_C10020	2.3.1.115		Enzymatic reactions [BR:br08201] > 2. Transferase reactions > 2.3 Acyltransferases > 2.3.1 Transferring groups other than aminoacyl groups > 2.3.1.115 > R06821 Apigenin 7-O-beta-D-glucoside + Malonyl-CoA <=> Apigenin 7-(6''-malonylglucoside) + CoA			
