entry	description	query
cpd:C04858	Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]; 7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4'-trihydroxyflavone; Apiin; 7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one; Apigenin-7-apioglucoside; Apioside	apiin
cpd:C05622	Malonylapiin; Apigenin 7-O-[beta-D-apiosyl-(1->2)-(6-malonyl-beta-D-glucoside)]	apiin
cpd:C01460	Vitexin; Apigenin 8-C-glucoside	apigenin
cpd:C01477	Apigenin; 4',5,7-Trihydroxyflavone; 5,7,4'-Trihydroxyflavone	apigenin
cpd:C01714	Isovitexin; Saponaretin; Apigenin-6-C-glucoside; 6-C-Glucosylapigenin; Apigenin 6-C-glucoside	apigenin
cpd:C04608	Apigenin 7-O-beta-D-glucoside; 7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone; Apigenin 7-O-glucoside; Apigetrin; 7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; Cosmetin; Cosmosiin	apigenin
cpd:C04858	Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]; 7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4'-trihydroxyflavone; Apiin; 7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one; Apigenin-7-apioglucoside; Apioside	apigenin
cpd:C05622	Malonylapiin; Apigenin 7-O-[beta-D-apiosyl-(1->2)-(6-malonyl-beta-D-glucoside)]	apigenin
cpd:C05902	3-Methoxyapigenin; 3-O-Methylkaempferol	apigenin
cpd:C08574	Apigeninidin	apigenin
cpd:C10017	Agathisflavone; 6,8''-Biapigenin	apigenin
cpd:C10018	Amentoflavone; 3',8''-Biapigenin	apigenin
cpd:C10019	Apigenin 7,4'-dimethyl ether; Apigenin dimethylether	apigenin
cpd:C10020	Apigenin 7-(6''-malonylglucoside); Apigenin 7-O-(6-malonyl-beta-D-glucoside)	apigenin
cpd:C10034	Cupressuflavone; 8,8''-Biapigenin	apigenin
cpd:C10046	Genkwanin; Apigenin 7-methyl ether	apigenin
cpd:C10097	Isoscutellarein; 8-Hydroxyapigenin	apigenin
cpd:C10179	Robustaflavone; 3',6''-Biapigenin	apigenin
cpd:C10184	Scutellarein; Isocarthamidin; 6-Hydroxyapigenin	apigenin
cpd:C10195	Vicenin-2; Apigenin-6,8-di-C-glycoside; 5,7,4'-Trihydroxyflavone-6,8-di-C-glucoside	apigenin
cpd:C12627	Apigenin 7-O-neohesperidoside; Rhoifolin; Rhoifoloside	apigenin
